id,area_sqm,log_area,compactness,perimeter,is_forest,is_agricultural,is_unverified,risk_score,microsoft_confirmed,synthetic_label
0,500.00457429085543,6.216615231364252,0.473076938467923,115.24604545351752,1,0,0,10.0,0,1
1,500.00457429481025,6.216615231372146,0.4647480033575265,116.27414493268262,1,0,0,10.0,0,1
2,1500.0137228607018,7.313895974070485,0.5127650795589621,191.73143713766518,1,0,0,16.7,0,1
3,2400.0219565692128,7.783649740939628,0.3607462187185863,289.1423095408581,1,0,0,42.0,0,1
4,2400.0219565336183,7.783649740924804,0.6605153042662665,213.68355339709817,1,0,0,42.0,0,1
5,600.0054891601003,6.39860406787137,0.4066774073942015,136.1625012644913,0,0,1,10.7,0,0
6,600.0054890968219,6.398604067766081,0.5480286348606493,117.29538312317719,0,0,1,10.7,0,0
7,600.0054891561454,6.398604067864789,0.5479692381554883,117.30174002824955,1,0,0,10.7,0,1
8,500.0045743027202,6.216615231387935,0.46475973595578246,116.27267728662882,0,0,1,10.0,0,0
9,41500.37966614885,10.63348195063363,0.04780179472899224,3303.0022204499282,1,0,0,85.8,0,1
10,2300.021041767201,7.741108234612068,0.5344924055668533,232.54128456116686,0,0,1,41.5,0,0
11,700.0064039858411,6.552517022493348,0.6623940004034001,115.23853896217233,0,0,1,11.3,0,0
12,1700.015552611056,7.438980735570439,0.3915630298542958,233.5772489785758,1,0,0,18.0,0,1
13,8500.077763035508,9.047948230091755,0.25992570170149276,641.0497998295905,1,0,0,72.5,0,1
14,1400.0128079558629,7.2449506883051145,0.27608881297211174,252.4332342612919,0,0,1,16.0,0,0
15,500.0045743027201,6.216615231387934,0.464747276741138,116.27423582888075,1,0,0,10.0,0,1
16,500.00457424339663,6.216615231269525,0.46474752791902046,116.27420440113781,1,0,0,10.0,0,1
17,500.00457429876525,6.2166152313800405,0.4566260666835261,117.30366219139181,1,0,0,10.0,0,1
18,6300.057636101952,8.748472777035905,0.10863259575416143,853.6839468829036,0,0,1,61.5,0,0
19,8000.073188649731,8.987330960246073,0.19470507850568486,718.5603882697595,0,0,1,70.0,0,0
20,600.0054891601003,6.39860406787137,0.5576834770672391,116.27561762351185,1,0,0,10.7,0,1
21,600.0054891561454,6.398604067864789,0.8117710236378637,96.37530628752381,0,0,1,10.7,0,0
22,1300.0118931854906,7.170897620042966,0.4350016212842836,193.79080061743048,1,0,0,15.3,0,1
23,600.0054891521904,6.398604067858209,0.567699000980538,115.2453679391902,0,0,1,10.7,0,0
24,900.0082337243308,6.803514395995363,0.3830405449258563,171.832694392525,0,0,1,12.7,0,0
25,2600.023786355161,7.863660410487635,0.3853293511602107,291.19073121085273,0,0,1,43.0,0,0
26,700.0064040016607,6.552517022515915,0.4817129014753154,135.13311862916026,0,0,1,11.3,0,0
27,1200.0109783122907,7.090918963014301,0.49280671790859004,174.9279601731752,1,0,0,14.7,0,1
28,1100.0100634549106,7.00398327696693,0.30566718901219087,212.6565919791496,1,0,0,14.0,0,1
29,2100.019212016847,7.65017784502825,0.22208623462805185,344.71147877645024,1,0,0,40.5,0,1
30,800.0073188827703,6.6858700842086005,0.4182605849480204,155.03453173047114,1,0,0,12.0,0,1
31,2300.0210417909307,7.741108234622381,0.45357107030368676,252.4341826642193,0,0,1,41.5,0,0
32,3400.0311051944277,8.131833930862,0.2328134227555526,428.3930034012243,0,0,1,47.0,0,0
33,1800.0164674526168,7.496106488639216,0.17114305869432908,363.5494788309778,0,0,1,18.7,0,0
34,1100.0100634114067,7.003983276927418,0.3027357531033054,213.68370445382058,1,0,0,14.0,0,1
35,600.0054891561454,6.398604067864789,0.4006098400805945,137.18977300264086,0,0,1,10.7,0,0
36,600.0054891561454,6.398604067864789,0.5576885477143737,116.27508901807666,1,0,0,10.7,0,1
37,4000.036594330799,8.294308755111533,0.41310158901147254,348.8257056891084,1,0,0,50.0,0,1
38,700.006404029345,6.552517022555407,0.3759458377221562,152.96543220757798,0,0,1,11.3,0,0
39,1800.0164674644811,7.496106488645804,0.4258268938811968,230.47648814979613,0,0,1,18.7,0,0
40,800.0073188669506,6.685870084188851,0.4238896359601166,154.0016992862513,0,0,1,12.0,0,0
41,500.0045743027202,6.216615231387935,0.46479653669526805,116.26807419165218,0,0,1,10.0,0,0
42,700.0064040174803,6.552517022538482,0.35184202626354927,158.1182802056506,1,0,0,11.3,0,1
43,4400.040253693086,8.389596213257125,0.33305369294575404,407.4516961751158,0,0,1,52.0,0,0
44,500.00457428690055,6.216615231356358,0.46478138723293644,116.26996904243155,0,0,1,10.0,0,0
45,1700.015552563597,7.438980735542539,0.3916064613198696,233.56429606909532,0,0,1,18.0,0,0
46,700.006404029345,6.552517022555407,0.6623943683584353,115.2385069586827,0,0,1,11.3,0,0
47,3700.0338498061165,8.216367478468653,0.2521425449465771,429.422419582807,0,0,1,48.5,0,0
